,date,fail,pass,skip
0,2015-12-01,0,0,0
1,2015-12-08,75,1835,10
2,2015-12-15,90,1862,39
3,2015-12-22,102,1863,39
4,2015-12-29,89,1882,39
5,2016-01-05,89,1882,39
6,2016-01-12,89,1882,39
7,2016-01-19,89,1882,39
8,2016-01-26,89,1880,39
9,2016-02-02,105,1863,39
10,2016-02-09,114,1863,39
11,2016-02-16,90,1917,52
12,2016-02-23,78,1931,51
13,2016-03-01,78,1931,51
14,2016-03-08,78,1931,51
15,2016-03-15,76,1933,51
16,2016-03-22,76,1933,51
17,2016-03-29,76,1933,51
18,2016-04-05,86,1927,51
19,2016-04-12,247,1632,179
20,2016-04-19,259,1597,203
21,2016-04-26,274,1536,251
22,2016-05-03,276,1528,257
23,2016-05-10,275,1525,261
24,2016-05-17,279,1513,267
25,2016-05-24,278,1514,267
26,2016-05-31,263,1538,267
27,2016-06-07,246,1543,279
28,2016-06-14,251,1549,279
29,2016-06-21,263,1541,282
30,2016-06-28,263,1541,282
31,2016-07-05,256,1548,282
32,2016-07-12,256,1549,281
33,2016-07-19,249,1556,281
34,2016-07-26,250,1553,288
35,2016-08-02,250,1553,288
36,2016-08-09,250,1553,288
37,2016-08-16,419,1453,217
38,2016-08-23,452,1290,349
39,2016-08-30,417,1455,217
40,2016-09-06,280,1511,363
41,2016-09-13,321,1242,690
42,2016-09-20,263,2377,166
43,2016-09-27,263,2394,165
44,2016-10-04,263,2394,165
45,2016-10-11,262,2395,165
46,2016-10-18,262,2395,165
47,2016-10-25,257,2477,159
48,2016-11-01,289,2541,140
49,2016-11-08,299,2516,168
50,2016-11-15,299,2516,168
51,2016-11-22,299,2516,168
52,2016-11-29,299,2516,168
53,2016-12-06,299,2516,168
54,2016-12-13,268,2783,191
55,2016-12-20,280,2770,192
56,2016-12-27,278,2759,186
57,2017-01-03,278,2714,200
58,2017-01-10,281,2675,207
59,2017-01-17,271,2734,255
60,2017-01-24,269,2719,254
61,2017-01-31,283,2677,258
62,2017-02-07,270,2679,251
63,2017-02-14,262,2649,265
64,2017-02-21,253,2709,208
65,2017-02-28,247,2695,225
66,2017-03-07,236,2667,240
67,2017-03-14,251,2625,267
68,2017-03-21,248,2629,260
69,2017-03-28,241,2664,226
70,2017-04-04,235,2659,225
71,2017-04-11,241,2625,253
72,2017-04-18,226,2723,170
73,2017-04-25,226,2723,170
74,2017-05-02,224,2725,170
75,2017-05-09,534,2469,223
76,2017-05-16,568,2409,206
77,2017-05-23,585,2337,254
