,NA,date,error,fail,pass,skip
0,2054,2015-12-01,0,0,0,0
1,2045,2015-12-08,12,1,0,0
2,67,2015-12-15,17,1294,10,675
3,67,2015-12-22,17,1294,10,675
4,53,2015-12-29,18,1306,12,675
5,53,2016-01-05,18,1306,12,675
6,53,2016-01-12,18,1306,12,675
7,48,2016-01-19,18,1311,12,675
8,48,2016-01-26,18,1311,12,675
9,48,2016-02-02,18,1311,12,675
10,43,2016-02-09,18,1316,12,675
11,43,2016-02-16,18,1316,12,675
12,43,2016-02-23,18,1316,12,675
13,43,2016-03-01,18,1313,15,675
14,32,2016-03-08,18,1315,15,684
15,25,2016-03-15,18,1315,15,691
16,18,2016-03-22,18,1315,15,698
17,18,2016-03-29,18,1315,15,698
18,18,2016-04-05,17,1307,15,707
19,17,2016-04-12,17,1309,14,707
20,17,2016-04-19,17,1310,13,707
21,17,2016-04-26,17,1311,12,707
22,14,2016-05-03,17,1314,12,707
23,13,2016-05-10,17,1314,12,708
24,13,2016-05-17,17,1314,12,708
25,13,2016-05-24,17,1314,12,708
26,13,2016-05-31,17,1314,12,708
27,13,2016-06-07,17,1314,12,708
28,13,2016-06-14,17,1314,12,708
29,13,2016-06-21,17,1314,12,708
30,13,2016-06-28,17,1314,12,708
31,13,2016-07-05,17,1314,12,708
32,13,2016-07-12,17,1314,12,708
33,13,2016-07-19,17,1314,12,708
34,13,2016-07-26,17,1314,12,708
35,13,2016-08-02,17,1314,12,708
36,13,2016-08-09,17,1314,12,708
37,13,2016-08-16,17,1314,12,708
38,13,2016-08-23,17,1314,12,708
39,13,2016-08-30,17,1314,12,708
40,13,2016-09-06,17,1314,12,708
41,13,2016-09-13,17,1314,12,708
42,13,2016-09-20,17,1314,12,708
43,13,2016-09-27,17,1314,12,708
44,13,2016-10-04,17,1314,12,708
45,13,2016-10-11,17,1314,12,708
46,13,2016-10-18,17,1314,12,708
47,13,2016-10-25,17,1314,12,708
48,13,2016-11-01,17,1314,12,708
49,13,2016-11-08,17,1314,12,708
50,13,2016-11-15,17,1314,12,708
51,13,2016-11-22,17,1314,12,708
52,13,2016-11-29,17,1314,12,708
53,13,2016-12-06,17,1314,12,708
54,13,2016-12-13,17,1314,12,708
55,13,2016-12-20,17,1314,12,708
56,9,2016-12-27,17,1318,12,708
57,9,2017-01-03,17,1318,12,708
58,9,2017-01-10,21,1314,12,708
59,9,2017-01-17,21,1314,12,708
60,7,2017-01-24,18,1319,12,708
61,7,2017-01-31,18,1319,12,708
62,7,2017-02-07,23,1314,12,708
63,7,2017-02-14,23,1314,12,708
