,NA,date,error,fail,pass,skip
0,2054,2015-12-01,0,0,0,0
1,2045,2015-12-08,12,1,0,0
2,67,2015-12-15,14,1294,11,677
3,67,2015-12-22,15,1293,11,677
4,53,2015-12-29,15,1306,13,677
5,53,2016-01-05,15,1306,13,677
6,53,2016-01-12,24,1316,13,719
7,48,2016-01-19,24,1321,13,719
8,48,2016-01-26,24,1321,13,719
9,48,2016-02-02,24,1321,13,719
10,43,2016-02-09,24,1326,13,719
11,43,2016-02-16,24,1328,11,719
12,43,2016-02-23,24,1328,11,719
13,43,2016-03-01,24,1326,13,719
14,43,2016-03-08,27,1323,18,714
15,43,2016-03-15,26,1324,18,714
16,33,2016-03-22,47,1343,11,753
17,33,2016-03-29,47,1343,11,753
18,32,2016-04-05,41,1350,11,753
19,32,2016-04-12,41,1350,11,753
20,32,2016-04-19,41,1350,11,753
21,32,2016-04-26,41,1350,11,753
22,32,2016-05-03,41,1350,11,753
23,32,2016-05-10,41,1350,11,753
24,32,2016-05-17,41,1350,11,753
25,32,2016-05-24,41,1350,11,753
26,25,2016-05-31,41,1350,11,760
27,25,2016-06-07,41,1341,11,769
28,14,2016-06-14,41,1343,11,778
29,7,2016-06-21,41,1343,11,785
30,7,2016-06-28,41,1343,11,785
31,7,2016-07-05,41,1343,11,785
32,7,2016-07-12,41,1343,11,785
33,7,2016-07-19,41,1343,11,785
34,0,2016-07-26,41,1343,11,792
35,0,2016-08-02,41,1343,11,792
36,0,2016-08-09,41,1343,11,792
37,0,2016-08-16,41,1343,11,792
38,0,2016-08-23,41,1343,11,792
39,0,2016-08-30,41,1343,11,792
40,0,2016-09-06,41,1343,11,792
41,0,2016-09-13,41,1343,11,792
42,0,2016-09-20,41,1343,11,792
43,0,2016-09-27,41,1343,11,792
44,0,2016-10-04,41,1343,11,792
45,0,2016-10-11,41,1343,11,792
46,0,2016-10-18,41,1343,11,792
47,0,2016-10-25,41,1343,11,792
48,0,2016-11-01,41,1343,11,792
49,0,2016-11-08,41,1343,11,792
50,0,2016-11-15,41,1343,11,792
51,0,2016-11-22,41,1343,11,792
52,0,2016-11-29,41,1343,11,792
53,0,2016-12-06,41,1343,11,792
54,0,2016-12-13,41,1343,11,792
55,0,2016-12-20,41,1343,11,792
56,0,2016-12-27,41,1343,11,792
57,0,2017-01-03,41,1343,11,792
58,0,2017-01-10,41,1343,11,792
59,0,2017-01-17,41,1343,11,792
60,0,2017-01-24,41,1343,11,792
61,0,2017-01-31,41,1343,11,792
62,0,2017-02-07,41,1343,11,792
63,0,2017-02-14,29,1347,11,800
64,0,2017-02-21,29,1347,11,800
65,0,2017-02-28,29,1347,11,800
66,0,2017-03-07,29,1347,11,800
67,0,2017-03-14,29,1347,11,800
68,0,2017-03-21,29,1347,11,800
69,0,2017-03-28,29,1347,11,800
70,0,2017-04-04,29,1347,11,800
71,0,2017-04-11,29,1347,11,800
72,0,2017-04-18,29,1341,17,800
