,date,error,fail,pass,skip
0,2015-12-01,0,0,0,0
1,2015-12-08,13,1229,50,629
2,2015-12-15,13,1272,53,658
3,2015-12-22,26,1275,48,647
4,2015-12-29,26,1290,48,647
5,2016-01-05,26,1290,48,647
6,2016-01-12,26,1290,48,647
7,2016-01-19,26,1290,48,647
8,2016-01-26,26,1290,48,647
9,2016-02-02,27,1295,47,647
10,2016-02-09,27,1300,47,647
11,2016-02-16,27,1300,47,647
12,2016-02-23,27,1300,47,647
13,2016-03-01,27,1300,47,647
14,2016-03-08,21,1333,10,718
15,2016-03-15,21,1333,10,718
16,2016-03-22,20,1331,10,724
17,2016-03-29,31,1316,37,709
18,2016-04-05,31,1319,39,704
19,2016-04-12,31,1304,54,704
20,2016-04-19,31,1304,54,704
21,2016-04-26,31,1303,55,704
22,2016-05-03,31,1304,54,704
23,2016-05-10,39,1307,43,704
24,2016-05-17,30,1317,46,700
25,2016-05-24,30,1317,46,700
26,2016-05-31,30,1317,46,707
27,2016-06-07,30,1308,46,716
28,2016-06-14,30,1310,46,725
29,2016-06-21,30,1302,54,732
30,2016-06-28,30,1300,56,732
31,2016-07-05,30,1310,46,732
32,2016-07-12,30,1336,55,697
33,2016-07-19,30,1335,56,697
34,2016-07-26,30,1342,56,697
35,2016-08-02,30,1342,56,697
36,2016-08-09,30,1342,56,697
37,2016-08-16,30,1342,56,697
38,2016-08-23,30,1342,56,697
39,2016-08-30,30,1341,56,698
40,2016-09-06,557,1648,57,999
41,2016-09-13,878,1271,41,1071
42,2016-09-20,11,2063,52,1147
43,2016-09-27,12,2086,28,1147
44,2016-10-04,12,2086,28,1147
45,2016-10-11,12,2086,28,1147
46,2016-10-18,12,2086,28,1147
47,2016-10-25,12,2082,32,1147
48,2016-11-01,12,2102,31,1155
49,2016-11-08,12,2103,30,1155
50,2016-11-15,12,2103,30,1155
51,2016-11-22,12,2090,21,1177
52,2016-11-29,12,2090,21,1177
53,2016-12-06,12,2090,21,1177
54,2016-12-13,12,2089,67,1132
55,2016-12-20,12,2094,70,1124
56,2016-12-27,12,2089,68,1131
57,2017-01-03,12,2096,20,1172
58,2017-01-10,12,2096,20,1172
59,2017-01-17,12,2096,20,1172
