,date,error,fail,pass,skip
0,2015-12-01,0,0,0,0
1,2015-12-08,1,638,1272,10
2,2015-12-15,4,659,1294,39
3,2015-12-22,4,659,1294,39
4,2015-12-29,2,665,1290,39
5,2016-01-05,2,665,1290,39
6,2016-01-12,2,665,1290,39
7,2016-01-19,2,665,1290,39
8,2016-01-26,2,665,1290,39
9,2016-02-02,2,665,1290,39
10,2016-02-09,8,408,1581,80
11,2016-02-16,8,407,1587,80
12,2016-02-23,8,415,1579,80
13,2016-03-01,8,418,1576,80
14,2016-03-08,8,412,1582,80
15,2016-03-15,8,412,1582,80
16,2016-03-22,8,412,1582,80
17,2016-03-29,8,413,1582,80
18,2016-04-05,19,310,1692,72
19,2016-04-12,19,310,1692,72
20,2016-04-19,19,310,1692,72
21,2016-04-26,19,310,1692,72
22,2016-05-03,19,309,1693,72
23,2016-05-10,19,308,1694,72
24,2016-05-17,19,308,1694,72
25,2016-05-24,19,315,1687,72
26,2016-05-31,25,314,1689,72
27,2016-06-07,25,317,1686,72
28,2016-06-14,25,320,1694,72
29,2016-06-21,26,318,1697,77
30,2016-06-28,26,324,1691,77
31,2016-07-05,19,318,1697,84
32,2016-07-12,37,311,1694,76
33,2016-07-19,37,311,1694,76
34,2016-07-26,38,311,1695,81
35,2016-08-02,38,311,1695,81
36,2016-08-09,76,287,1681,81
37,2016-08-16,78,287,1679,81
38,2016-08-23,76,287,1681,81
39,2016-08-30,77,287,1680,81
40,2016-09-06,776,393,1700,270
41,2016-09-13,1141,218,1490,290
42,2016-09-20,674,525,1629,323
43,2016-09-27,659,548,1608,336
44,2016-10-04,659,548,1608,336
45,2016-10-11,659,548,1608,336
46,2016-10-18,659,548,1608,336
47,2016-10-25,657,547,1611,336
48,2016-11-01,648,560,1620,343
49,2016-11-08,648,565,1614,344
50,2016-11-15,363,758,1676,376
51,2016-11-22,363,758,1676,376
52,2016-11-29,359,760,1678,376
53,2016-12-06,359,760,1678,376
54,2016-12-13,20,1218,1691,371
55,2016-12-20,20,1220,1693,367
56,2016-12-27,44,1209,1635,412
57,2017-01-03,115,1167,1595,423
58,2017-01-10,139,1139,1506,516
59,2017-01-17,151,1135,1470,544
60,2017-01-24,147,1140,1471,544
61,2017-01-31,150,1144,1464,544
62,2017-02-07,150,1144,1464,544
63,2017-02-14,153,1144,1454,551
64,2017-02-21,153,1143,1455,551
65,2017-02-28,149,1143,1459,551
66,2017-03-07,149,1148,1451,554
67,2017-03-14,149,1148,1451,554
68,2017-03-21,187,1140,1423,552
69,2017-03-28,187,1141,1422,552
70,2017-04-04,187,1141,1439,570
71,2017-04-11,187,1141,1439,570
72,2017-04-18,187,1139,1441,570
73,2017-04-25,187,1139,1441,570
74,2017-05-02,187,1139,1441,570
75,2017-05-09,182,1076,2011,296
76,2017-05-16,271,913,2216,214
77,2017-05-23,301,912,2167,234
