,NA,date,error,fail,pass,skip
0,2054,2015-12-01,0,0,0,0
1,133,2015-12-08,12,1255,16,638
2,67,2015-12-15,12,1299,18,667
3,67,2015-12-22,13,1300,16,667
4,67,2015-12-29,12,1301,16,667
5,65,2016-01-05,12,1303,16,667
6,65,2016-01-12,12,1303,16,667
7,52,2016-01-19,12,1316,16,667
8,47,2016-01-26,12,1321,16,667
9,42,2016-02-02,12,1326,16,667
10,39,2016-02-09,12,1329,16,667
11,39,2016-02-16,12,1329,16,667
12,39,2016-02-23,12,1329,16,667
13,39,2016-03-01,12,1329,16,667
14,39,2016-03-08,12,1329,16,667
15,39,2016-03-15,12,1329,16,667
16,39,2016-03-22,12,1329,16,667
17,39,2016-03-29,12,1329,16,667
18,32,2016-04-05,24,1239,109,659
19,32,2016-04-12,24,1239,109,659
20,32,2016-04-19,24,1239,109,659
21,32,2016-04-26,24,1239,109,659
22,32,2016-05-03,24,1239,109,659
23,32,2016-05-10,24,1239,109,659
24,32,2016-05-17,24,1239,109,659
25,32,2016-05-24,24,1239,109,659
26,25,2016-05-31,24,1239,109,666
27,25,2016-06-07,24,1230,109,675
28,14,2016-06-14,24,1232,109,684
29,7,2016-06-21,24,1232,109,691
30,7,2016-06-28,24,1232,109,691
31,7,2016-07-05,24,1232,109,691
32,7,2016-07-12,24,1232,109,691
33,7,2016-07-19,24,1232,109,691
34,0,2016-07-26,24,1232,109,698
35,0,2016-08-02,24,1228,113,698
36,0,2016-08-09,24,1228,113,698
37,0,2016-08-16,24,1228,113,698
38,0,2016-08-23,24,1229,112,698
39,0,2016-08-30,24,1228,113,698
40,0,2016-09-06,24,1228,113,698
