,NA,date,error,fail,pass,skip
0,2054,2015-12-01,0,0,0,0
1,2043,2015-12-08,0,2,0,9
2,2036,2015-12-15,0,2,0,16
3,2029,2015-12-22,0,2,0,23
4,2027,2015-12-29,2,2,0,23
5,2022,2016-01-05,2,7,0,23
6,2013,2016-01-12,2,7,0,32
7,2000,2016-01-19,2,20,0,32
8,1995,2016-01-26,2,25,0,32
9,1990,2016-02-02,2,30,0,32
10,1987,2016-02-09,2,33,0,32
11,1980,2016-02-16,3,38,1,32
12,1970,2016-02-23,3,46,3,32
13,1964,2016-03-01,3,48,7,32
14,1954,2016-03-08,3,48,17,32
15,1952,2016-03-15,3,49,18,32
16,1940,2016-03-22,3,49,30,32
17,1890,2016-03-29,3,55,48,58
18,1870,2016-04-05,3,55,68,58
19,1870,2016-04-12,3,55,68,58
20,1860,2016-04-19,5,59,72,58
21,1860,2016-04-26,5,59,72,58
22,1855,2016-05-03,5,60,76,58
23,1853,2016-05-10,5,62,76,58
24,1817,2016-05-17,5,66,108,58
25,1806,2016-05-24,5,68,117,58
26,1794,2016-05-31,5,68,129,58
27,1782,2016-06-07,5,68,141,58
28,1770,2016-06-14,5,68,153,58
29,1758,2016-06-21,5,68,165,58
30,1746,2016-06-28,5,68,177,58
31,1734,2016-07-05,5,68,189,58
32,1722,2016-07-12,5,68,201,58
33,1710,2016-07-19,5,68,213,58
34,1698,2016-07-26,5,68,225,58
35,1686,2016-08-02,5,68,237,58
36,1674,2016-08-09,5,68,249,58
37,1662,2016-08-16,5,68,261,58
38,1650,2016-08-23,5,68,273,58
39,1638,2016-08-30,5,68,285,58
40,1626,2016-09-06,5,68,297,58
41,1614,2016-09-13,5,68,309,58
42,1602,2016-09-20,5,68,321,58
43,1590,2016-09-27,5,68,333,58
44,1578,2016-10-04,5,68,345,58
45,1566,2016-10-11,5,68,357,58
46,1554,2016-10-18,5,68,369,58
47,1542,2016-10-25,5,68,381,58
48,1530,2016-11-01,5,68,393,58
49,1518,2016-11-08,5,68,405,58
50,1506,2016-11-15,5,68,417,58
51,1494,2016-11-22,5,68,429,58
52,1482,2016-11-29,5,68,441,58
53,1470,2016-12-06,5,68,453,58
54,1458,2016-12-13,5,68,465,58
55,1446,2016-12-20,5,68,477,58
56,1434,2016-12-27,5,68,489,58
57,1422,2017-01-03,5,68,501,58
58,1410,2017-01-10,5,68,513,58
59,1398,2017-01-17,5,68,525,58
60,1386,2017-01-24,5,68,537,58
61,1374,2017-01-31,5,68,549,58
62,1362,2017-02-07,5,68,561,58
63,1350,2017-02-14,5,68,573,58
64,1338,2017-02-21,5,68,585,58
65,1326,2017-02-28,5,68,597,58
66,1326,2017-03-07,5,68,597,58
67,33,2017-03-14,5,68,1890,58
