Report Week,Report Date,Passed,Failed,Total
2015/40,9/27/2015,55,21,76
2015/41,10/4/2015,53,42,95
2015/42,10/11/2015,1,0,1
2015/43,10/18/2015,1,1,2
2015/44,10/25/2015,0,0,0
2015/45,11/1/2015,3,0,3
2015/46,11/8/2015,8,0,8
2015/47,11/15/2015,0,0,0
2015/48,11/22/2015,4,0,4
2015/49,11/29/2015,2,0,2
2015/50,12/6/2015,4,1,5
2015/51,12/13/2015,3,1,4
2015/52,12/20/2015,3,0,3
2015/53,12/27/2015,0,0,0
2016/1,1/3/2016,0,0,0
2016/2,1/10/2016,77,24,101
2016/3,1/17/2016,35,14,49
2016/4,1/24/2016,39,8,47
2016/5,1/31/2016,44,1,45
2016/6,2/7/2016,11,2,13
2016/7,2/14/2016,35,22,57
2016/8,2/21/2016,10,3,13
2016/9,2/28/2016,6,11,17
2016/10,3/6/2016,14,7,21
2016/11,3/13/2016,66,17,83
2016/12,3/20/2016,97,26,123
2016/13,3/27/2016,22,4,26
2016/14,4/3/2016,12,4,16
2016/15,4/10/2016,2,0,2
2016/16,4/17/2016,10,1,11
2016/17,4/24/2016,14,5,19
2016/18,5/1/2016,19,17,36
2016/19,5/8/2016,112,27,139
2016/20,5/15/2016,122,44,166
2016/21,5/22/2016,6,2,8
2016/22,5/29/2016,20,1,21
2016/23,6/5/2016,15,2,17
2016/24,6/12/2016,14,0,14
2016/25,6/19/2016,5,1,6
2016/26,6/26/2016,30,16,46
2016/27,7/3/2016,36,5,41
2016/28,7/10/2016,38,14,52
2016/29,7/17/2016,26,4,30
2016/30,7/24/2016,48,3,51
2016/31,7/31/2016,5,0,5
2016/32,8/7/2016,5,0,5
2016/33,8/14/2016,25,4,29
2016/34,8/21/2016,12,1,13
2016/35,8/28/2016,21,5,26
2016/36,9/4/2016,24,4,28
2016/37,9/11/2016,22,1,23
2016/38,9/18/2016,172,27,199
2016/39,9/25/2016,43,19,62
2016/40,10/2/2016,106,14,120
2016/41,10/9/2016,46,4,50
2016/42,10/16/2016,25,1,26
2016/43,10/23/2016,56,4,60
2016/44,10/30/2016,47,3,50
2016/45,11/6/2016,28,2,30
2016/46,11/13/2016,20,20,40
2016/47,11/20/2016,112,12,124
2016/48,11/27/2016,11,15,26
2016/49,12/4/2016,57,3,60
2016/50,12/11/2016,26,10,36
2016/51,12/18/2016,125,2,127
2016/52,12/25/2016,91,3,94
2016/53,1/1/2017,100,21,121
2017/1,1/8/2017,204,17,221
2017/2,1/15/2017,286,67,353
2017/3,1/22/2017,56,27,83
2017/4,1/29/2017,5,1,6
2017/5,2/5/2017,6,0,6
2017/6,2/12/2017,11,4,15
2017/7,2/19/2017,36,4,40
2017/8,2/26/2017,38,3,41
2017/9,3/5/2017,77,23,100
2017/10,3/12/2017,35,4,39
2017/11,3/19/2017,35,0,35
2017/12,3/26/2017,131,7,138
2017/13,4/2/2017,85,0,85
2017/14,4/9/2017,15,0,15
2017/15,4/16/2017,15,0,15
2017/16,4/23/2017,26,9,35
2017/17,4/30/2017,126,82,208
2017/18,5/7/2017,107,23,130
2017/19,5/14/2017,31,14,46
2017/20,5/21/2017,17,9,26
2017/21,5/28/2017,36,13,49
2017/22,6/4/2017,64,1,65
2017/23,6/11/2017,33,146,179
2017/24,6/18/2017,142,23,171
2017/25,6/25/2017,555,71,626
2017/26,7/2/2017,113,0,113
2017/27,7/9/2017,114,15,129
2017/28,7/16/2017,11,32,45
2017/29,7/23/2017,42,42,87
2017/30,7/30/2017,16,13,29
2017/31,8/6/2017,76,2,78
2017/32,8/13/2017,5,0,5
2017/33,8/20/2017,12,18,40
2017/34,8/27/2017,72,4,80
2017/35,9/3/2017,30,13,50
2017/36,9/10/2017,0,0,0
2017/37,9/17/2017,0,0,0
2017/38,9/24/2017,0,0,0
2017/39,10/1/2017,0,0,0
2017/40,10/8/2017,0,0,0
2017/41,10/15/2017,0,0,0
2017/42,10/22/2017,0,0,0
2017/43,10/29/2017,0,0,0
2017/44,11/5/2017,0,0,0
2017/45,11/12/2017,0,0,0
2017/46,11/19/2017,0,0,0
2017/47,11/26/2017,0,0,0
2017/48,12/3/2017,0,0,0
2017/49,12/10/2017,0,0,0
2017/50,12/17/2017,0,0,0
2017/51,12/24/2017,0,0,0
2017/52,12/31/2017,0,0,0
,,"4,964","1,213","6,210"
